posted,likes,reposts,replies,quotes,text,uri
2026-08-22,1,0,0,0,"Knowing what your app does is table stakes. Knowing what context your agents are seeing is harder. W",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mtokhigiht2h
2026-08-21,6,0,0,0,"This blog publishes with nobody reviewing drafts. Three failure modes so far: API credit ran dry, a ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mtmnpwx3vt2b
2026-08-21,2,0,0,0,"One AI-assisted day: 14 PRs merged, a 358-site SQLite audit, and a pile of latent defects caught on ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mtmaerwjhn2p
2026-08-21,3,0,0,0,"Generic CMSes model genealogy as just another content type. The waaseyaa/genealogy package goes furt",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mtlzykvqlu2f
2026-08-21,0,0,0,0,"Anokii split duplicate identity code out of its monorepo into composable core, identity, and operato",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mtlsxiydqv2r
2026-08-17,4,0,0,0,"The first commit that ships a package is not the commit that finishes it. waaseyaa/northcloud launch",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mtby4xdopq2j
2026-08-17,0,0,1,0,"This blog now writes some of its own posts. A GitHub Actions pipeline mines project activity, curate",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mtbr3v3lla2j
2026-08-15,3,0,1,0,"The waaseyaa/groups package ships Group and GroupType, but zero pre-registered bundles. Your app dec",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mt4x73bjop2p
2026-08-08,3,0,0,0,"Waaseyaa's LlmConversationRequest is a provider-agnostic DTO that serializes to both Anthropic and O",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3msldwlpqwk2c
2026-08-07,2,0,1,0,"waaseyaa create-project was hardwired to the monorepo. Commit d20bff2 removes the path-repo assumpti",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3msithpwoek2i
